threshold,precision_default,recall_default,predicted_default_rate
0.1,0.19955884261061374,0.6195367573011078,0.2506219208819082
0.2,0.31028333663562513,0.31540785498489426,0.08206103767295904
0.25,0.3646640826873385,0.22739174219536756,0.05033900785327545
0.3,0.42229367631296894,0.15871097683786506,0.03033998341544315
0.35,0.45047372954349696,0.105337361530715,0.018877127944978294
0.4,0.5014204545454546,0.07109768378650554,0.011446596101003204
0.5,0.6045454545454545,0.02678751258811682,0.003577061281563501
